SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,6/05/2023,74.01
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,6/05/2023,93.54
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,6/05/2023,87.47
07X500,HOSTOS LINCOLN ACADEMY OF SCIENCE,6/05/2023,72.25
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,6/05/2023,84.36
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,6/05/2023,66.57
07X533,LEARNING THROUGH PLAY PRE K CENTER,6/05/2023,83.65
07X548,CAREERS IN SPORTS HIGH SCHOOL,6/05/2023,47.05
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,6/05/2023,74.39
07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,6/05/2023,47.44
07X584,I.S. 584,6/05/2023,90.95
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG,6/05/2023,81.86
07X625,BRONX LEGACY HIGH SCHOOL,6/05/2023,82.12
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,6/05/2023,75.23
08X014,P.S. X014 SENATOR JOHN CALANDRA,6/05/2023,91.82
08X036,P.S. 036 UNIONPORT,6/05/2023,90.36
08X048,P.S. 048 JOSEPH R. DRAKE,6/05/2023,85.28
08X062,P.S. 062 INOCENSIO CASANOVA,6/05/2023,88.42
08X069,P.S. 069 JOURNEY PREP SCHOOL,6/05/2023,87.82
08X071,P.S. 071 ROSE E. SCALA,6/05/2023,90.50
08X072,P.S. 072 DR. WILLIAM DORNEY,6/05/2023,88.34
08X075,P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,6/05/2023,86.48
08X093,P.S. 093 ALBERT G. OLIVER,6/05/2023,90.50
08X100,P.S. 100 ISAAC CLASON,6/05/2023,91.06
08X101,M.S. X101 EDWARD R. BYRNE,6/05/2023,93.63
08X107,P.S. 107,6/05/2023,84.94
08X119,THE DR. EMMETT W. BASSETT SCHOOL,6/05/2023,88.28
08X123,J.H.S. 123 JAMES M. KIERAN,6/05/2023,79.72
08X130,P.S. 130 ABRAM STEVENS HEWITT,6/05/2023,87.45
08X131,J.H.S. 131 ALBERT EINSTEIN,6/05/2023,88.49
08X138,P.S. 138 SAMUEL RANDALL,6/05/2023,89.84
08X140,P.S. X140 THE EAGLE SCHOOL,6/05/2023,86.90
08X146,P.S. 146 EDWARD COLLINS,6/05/2023,86.56
08X152,P.S. 152 EVERGREEN,6/05/2023,87.83
08X182,P.S. 182,6/05/2023,89.36
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,6/05/2023,82.16
08X282,WOMEN S ACADEMY OF EXCELLENCE,6/05/2023,76.70
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TH,6/05/2023,73.79
08X301,M.S. 301 PAUL L. DUNBAR,6/05/2023,89.10
