SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
05M175,P.S. 175 HENRY H GARNET,9/17/2021,81.01
05M194,P.S. 194 COUNTEE CULLEN,9/17/2021,75.43
05M197,P.S. 197 JOHN B. RUSSWURM,9/17/2021,81.16
05M200,P.S. 200  THE JAMES MCCUNE SMITH SCHOOL,9/17/2021,65.42
05M285,HARLEM RENAISSANCE HIGH SCHOOL,9/17/2021,30.90
05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,9/17/2021,73.80
05M304,MOTT HALL HIGH SCHOOL,9/17/2021,61.21
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,9/17/2021,85.26
05M362,COLUMBIA SECONDARY SCHOOL,9/17/2021,93.68
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,9/17/2021,70.52
05M371,SCHOOL OF EARTH EXPLORATION AND DISCOVERY HARLEM,9/17/2021,68.05
05M499,FREDERICK DOUGLASS ACADEMY,9/17/2021,65.00
05M514,NEW DESIGN MIDDLE SCHOOL,9/17/2021,84.48
05M517,TEACHERS COLLEGE COMMUNITY SCHOOL,9/17/2021,75.63
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,9/17/2021,70.24
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERI",9/17/2021,93.50
06M004,P.S. 004 DUKE ELLINGTON,9/17/2021,77.82
06M005,P.S. 005 ELLEN LURIE,9/17/2021,80.92
06M008,P.S. 008 LUIS BELLIARD,9/17/2021,82.27
06M018,P.S. 018 PARK TERRACE,9/17/2021,82.97
06M028,P.S. 028 WRIGHT BROTHERS,9/17/2021,84.14
06M048,P.S. 048 P.O. MICHAEL J. BUCZEK,9/17/2021,78.82
06M052,HAROLD O. LEVY SCHOOL,9/17/2021,79.50
06M098,P.S. 098 SHORAC KAPPOCK,9/17/2021,79.47
06M103,DOS PUENTES ELEMENTARY SCHOOL,9/17/2021,84.36
06M115,P.S. 115 ALEXANDER HUMBOLDT,9/17/2021,75.56
06M128,P.S. 128 AUDUBON,9/17/2021,83.21
06M132,P.S. 132 JUAN PABLO DUARTE,9/17/2021,78.28
06M143,J.H.S. 143 ELEANOR ROOSEVELT,9/17/2021,75.24
06M152,P.S. 152 DYCKMAN VALLEY,9/17/2021,79.71
06M153,P.S. 153 ADAM CLAYTON POWELL,9/17/2021,82.83
06M173,P.S. 173,9/17/2021,77.80
06M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,9/17/2021,90.69
06M187,P.S. I.S. 187 HUDSON CLIFFS,9/17/2021,86.70
06M189,P.S. 189,9/17/2021,86.42
06M192,P.S. 192 JACOB H. SCHIFF,9/17/2021,81.64
06M209,HAMILTON GRANGE MIDDLE SCHOOL,9/17/2021,90.33
06M210,P.S. I.S. 210   TWENTY FIRST CENTURY ACADEMY FOR C,9/17/2021,87.08
06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,9/17/2021,76.30
06M223,THE MOTT HALL SCHOOL,9/17/2021,87.92
06M278,PAULA HEDBAVNY SCHOOL,9/17/2021,85.24
06M293,CITY COLLEGE ACADEMY OF THE ARTS,9/17/2021,85.36
06M311,AMISTAD DUAL LANGUAGE SCHOOL,9/17/2021,86.49
06M314,MUSCOTA,9/17/2021,96.44
06M319,M.S. 319   MARIA TERESA,9/17/2021,80.80
06M322,MIDDLE SCHOOL 322,9/17/2021,76.29
06M324,M.S. 324   PATRIA MIRABAL,9/17/2021,83.07
06M328,COMMUNITY MATH   SCIENCE PREP,9/17/2021,76.02
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,9/17/2021,88.61
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,9/17/2021,78.24
06M349,HARBOR HEIGHTS,9/17/2021,77.50
06M366,WASHINGTON HEIGHTS ACADEMY,9/17/2021,84.40
